พ.ศ.,เม.ย.,พ.ค.,มิ.ย.,ก.ค.,ส.ค.,ก.ย.,ต.ค.,พ.ย.,ธ.ค.,ม.ค.,ก.พ.,มี.ค.,"รวม
(ล้าน ลบ.ม.)",station_id,station_name,source_file
2560,437.40,660.83,431.03,656.08,597.11,693.06,"1,839.77",208.20,330.92,472.82,514.77,469.37,"7,311.36",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2561,521.45,632.49,568.42,534.31,424.03,376.25,452.45,412.75,507.70,517.93,399.89,399.92,"5,747.58",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2562,331.73,515.06,547.64,443.95,275.68,437.25,313.30,202.51,156.79,185.28,152.10,153.90,"3,715.18",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2563,158.73,174.91,121.96,46.98,60.06,207.07,496.20,90.69,31.51,77.97,89.30,83.64,"1,639.01",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2564,135.40,115.73,132.27,122.30,179.12,"1,822.31","1,309.82",429.06,241.06,400.86,350.35,340.47,"5,578.77",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2565,328.83,511.76,451.72,500.66,834.27,"1,452.68","1,899.98",236.90,386.47,842.69,786.50,622.47,"8,854.93",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2566,646.01,695.17,676.86,655.60,529.89,580.44,"1,755.42",633.14,262.14,426.56,521.08,501.29,"6,861.23",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2567,627.26,727.66,619.23,590.89,513.59,868.15,"1,383.09",321.49,,,,,"5,651.36",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
ค่าเฉลี่ย,474.26,667.16,555.68,455.21,559.32,"1,163.96","1,322.32",625.30,433.22,505.67,537.64,561.04,"7,825.52",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2537,,,,,,,,,,,,,,N.67,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี N.67 วัดเกยไชยเหนือ อ.ชุมแสง จ.นครสวรรค์,trend_N.67.pdf
